County,Pct_Children_in_Poverty_a,Pct_Children_in_Poverty_b,Pct_Children_in_Poverty_c,Pct_Excessive_Drinking_a,Pct_Excessive_Drinking_b,Pct_Excessive_Drinking_c,Pct_Smokers_a,Pct_Smokers_b,Pct_Smokers_c,Pct_Unemployed_a,Pct_Unemployed_b,Pct_Unemployed_c,Pct_Uninsured_a,Pct_Uninsured_b,Pct_Uninsured_c,Age-Adjusted_Death_Rate-Drug_Overdoses_a,Age-Adjusted_Death_Rate-Drug_Overdoses_b,Age-Adjusted_Death_Rate-Drug_Overdoses_c,Death_Rate-Drug_Overdoses_a,Death_Rate-Drug_Overdoses_b,Death_Rate-Drug_Overdoses_c,ER_Visit_Rate-All_Other_Unintentional_Injury_a,ER_Visit_Rate-All_Other_Unintentional_Injury_b,ER_Visit_Rate-All_Other_Unintentional_Injury_c,ER_Visit_Rate-Falls_a,ER_Visit_Rate-Falls_b,ER_Visit_Rate-Falls_c,Injury_Death_Rate_a,Injury_Death_Rate_b,Injury_Death_Rate_c,MV_Mortality_Rate_a,MV_Mortality_Rate_b,MV_Mortality_Rate_c,Percent_of_Deaths_by_Cause-All_Opioids_a,Percent_of_Deaths_by_Cause-All_Opioids_b,Percent_of_Deaths_by_Cause-All_Opioids_c,Preventable_Hospitalization_Rate_a,Preventable_Hospitalization_Rate_b,Preventable_Hospitalization_Rate_c,Teen_Birth_Rate_a,Teen_Birth_Rate_b,Teen_Birth_Rate_c,Violent_Crime_Rate_a,Violent_Crime_Rate_b,Violent_Crime_Rate_c,Years_of_Potential_Life_Lost_Rate_a,Years_of_Potential_Life_Lost_Rate_b,Years_of_Potential_Life_Lost_Rate_c
Appling,-0.28381677516566,0.284039926617789,-0.2842520747718549,0.29746068806422526,-0.29764913384014036,0.2978362741419061,-0.0960259298956859,0.0960639720665594,-0.09609759923249522,-0.9692920553834574,0.9705699883959323,-0.9718456588102751,0.033025193385856966,-0.0332881103575192,0.033563726253673425,,,,,,,1.0860822547229647,-1.086807143904994,1.0875364928962676,1.063262722833943,-1.0639307359317922,1.0646124246468451,2.1695482184270687,-2.1689431255750833,2.168343357732868,,,,-0.28763996232511324,0.2879974779758244,-0.28835851112216193,-3.3565429025666558,3.3614182965235777,-3.3662719221783375,-2.560129469176137,2.561467802943913,-2.5627794937984056,0.6902445367879385,-0.6923761802534848,0.6945060336753164,,,
Atkinson,2.7704926427816408,-2.7691225558458017,2.7678454582972423,-1.2501261249718167,1.250016742550569,-1.2499109902308878,-0.894433700332558,0.893791514370763,-0.8931428674429509,2.2569518275341385,-2.2550278761637967,2.2530948053127333,-0.7467240292922995,0.7477352539909382,-0.7487020416689439,,,,,,,-2.767298637778095,2.76757063920738,-2.767835812902979,-3.406919988056172,3.4074657568942226,-3.408018724872737,-2.4855832193548517,2.4858626702426885,-2.4861314677216217,0.4678915498475201,-0.46795505776572877,0.46802704780829435,,,,-0.6593835701272047,0.6590837228461186,-0.6587821747834183,-0.2538899160467434,0.2555564890415262,-0.25718046382899984,-0.23178396339199153,0.23181789849668377,-0.23184517054084425,0.4496934312253039,-0.4493421021188381,0.4489955969641357
Bacon,-0.4938722376777887,0.49218647482070005,-0.4904870510035044,-0.48120127305604005,0.4816968224391178,-0.48219148951028395,-0.3947931313569459,0.3933336051687171,-0.3918716496624099,0.07664157574384199,-0.07673438682352686,0.0768216920318407,-1.7216575591140895,1.7219653241182535,-1.7222601282702807,1.944772286201683,-1.946762922916871,1.94875065185058,1.5702196984167176,-1.5719809878536048,1.5737393702714657,0.5521527342356359,-0.5517368464462464,0.5513255756293447,0.20867392756188757,-0.2084589912911016,0.20826743365404712,0.29741889290734247,-0.29523779440179754,0.29306310963209165,-0.14269641130739982,0.1434346321816628,-0.14416270053693533,0.7744989750736387,-0.7757363844424728,0.776971514441983,1.580078964377459,-1.5843394522848373,1.5886105301182727,-1.2872245020998472,1.29080420800624,-1.2943644698962105,,,,0.5289608811531409,-0.528663819393654,0.5283725304899769
Baker,0.8264285738392699,-0.8285214330383672,0.830677622445382,0.28423923083430425,-0.28442550769625935,0.28460803085868547,0.5306269073556189,-0.5312170381958063,0.5318059405411459,-1.1783698854858349,1.1777306459326708,-1.1770854133689805,0.32333457481816075,-0.324573204837242,0.32581235885161847,-0.29799711343031954,0.2985415033057533,-0.2990905249134542,-0.2923734513804642,0.2928314594142378,-0.29329423812163913,-1.4071395934449216,1.4058511583433482,-1.4045550505266444,0.9919212996058759,-0.9961109586784531,1.0003088248253968,-1.3315176565656845,1.327097494113759,-1.3226826220694112,,,,-0.28763996232511324,0.2879974779758244,-0.28835851112216193,,,,-1.6566786004831031,1.6554784658827806,-1.654296677878518,-4.080750514816356,4.084685535030214,-4.088632266735224,,,
Baldwin,-0.38723874905966993,0.3866332598636372,-0.38601867809215507,0.037661773691649796,-0.03704424252158786,0.03642606821382424,-1.5374153276924303,1.5386287394235585,-1.5398373152180005,1.6300134527695662,-1.6294740350875916,1.6289368113883655,0.6410045402197884,-0.6420648309978451,0.6431169139973589,1.5014267741428187,-1.5007572167999184,1.5000841596848686,1.3144666182159221,-1.313781052152742,1.3130918068261657,1.6308273262017166,-1.632702632478666,1.634576914697802,1.3853785781108658,-1.3864283184534318,1.3874807169434273,-0.7477178817527829,0.7470621646312406,-0.7464123793502955,0.6935174452454245,-0.6939033945872685,0.6942834960637805,0.1949895266734017,-0.1951995781232805,0.1954063591843371,-0.05106986749701865,0.05162182958560762,-0.05217535829737914,0.40278262123753633,-0.4039183024565206,0.4050277551158654,1.8237105033472174,-1.8251397250823462,1.8265868822839022,-0.20305495163541215,0.20234128741258434,-0.20162739811930644
Banks,0.22994091150602639,-0.22862510668937744,0.22728271390294366,-0.8843836233882199,0.8838687229883458,-0.8833495501720832,2.1281407868095847,-2.1282914663183194,2.1284413617856064,-1.2426330261700693,1.242044657346933,-1.2414640404616661,1.0368499603715498,-1.0382984588436523,1.0397619190049217,1.2448889689962594,-1.2454522829750936,1.2460172128169151,0.9408947533819179,-0.9415478624337064,0.9422038238125786,-1.5465486385375509,1.5470496134135365,-1.5475497439436026,-1.5688704214843106,1.5693564439864256,-1.5698409741890118,0.1006694786783821,-0.10032945914641807,0.09999231398243687,-0.7421634076120096,0.7412933071191039,-0.7404187640618158,-2.7472858599035987,2.7470737859488854,-2.746851585409186,-0.2833917550740188,0.2828973151502132,-0.2824010764476551,0.35237400025803917,-0.35249781281490045,0.35261322584655,2.572022787587718,-2.5717810619782058,2.5715315650107198,-0.1754682989486841,0.17533584277945605,-0.175203671698835
Barrow,-0.09391230643133892,0.09449192954501888,-0.09512829728520307,-0.2501689845448766,0.25113735655999003,-0.25209970124885,0.9391234648193398,-0.9382492774462333,0.9373723175358329,0.4733656372725615,-0.474042312871609,0.4747093631000156,0.24220899760072978,-0.24283690460800428,0.2434681966943409,0.1196184356237076,-0.11985280464796742,0.12008887623958395,0.20426681708339745,-0.20468666190096704,0.20510826971461216,-0.09967058734103981,0.10064166986620128,-0.10160894523119253,-0.2880738805418758,0.28907297901684986,-0.2900724395259914,0.8136219612842422,-0.8133460233315537,0.8130665650849505,-0.42794695515092324,0.42862474200375517,-0.4293023518600689,0.6557088611164108,-0.6561661746453684,0.6566271566050995,0.26399117133413913,-0.26422549004067636,0.2644602054844706,0.23511036540943972,-0.234959302788872,0.23479555657640053,-0.1703914046164914,0.17019749602006698,-0.16999314915321323,-0.2955621397095868,0.29555726569319485,-0.29555549122737945
Bartow,0.3123289699746538,-0.3112508025682525,0.31013694041151985,0.4961828102726154,-0.4959858996368401,0.49579416718904157,0.5971144335573588,-0.5970022285953898,0.5968883346724679,0.9166512991188183,-0.9173958145752904,0.9181339778567881,-0.47542943865752096,0.4743996973752387,-0.4733703747987123,0.16038178444644308,-0.16075160169629216,0.16112495221924034,0.17888635570470798,-0.17938381464486997,0.1798849797463222,-0.6254039149223394,0.62633380402219,-0.6272579150994649,0.10356253337746539,-0.10262977718531191,0.10170253898587432,-0.09793971184688467,0.09788222446059512,-0.09782481481751343,0.034718088442442216,-0.0349265214514873,0.03513239166455099,0.12799889373019321,-0.1285808093446262,0.12916778493170636,-0.7291296124922901,0.7286514754171656,-0.7281711464843001,1.5102035514851455,-1.509308634293282,1.5084146238960319,-0.09757942685434852,0.09666890242312996,-0.09575105375232744,0.37069163385969,-0.37040576443123924,0.3701176345112583
Ben Hill,-1.9481155016024028,1.9487834118110239,-1.949441904488547,-0.05303446649269424,0.05250139697506273,-0.051974487349981405,-0.09428915155985416,0.09429484225828,-0.09429522986436081,0.01629502795958333,-0.015087262360249825,0.013891522551582203,0.1979145366857821,-0.19792797586343705,0.19794057953489338,,,,,,,,,,,,,1.330857878225975,-1.3320120502890125,1.3331633873002362,-0.5580372555612466,0.5578287638482463,-0.5576228353042957,,,,-0.1954916020896541,0.19466517607320183,-0.1938361075646004,-0.8229289614150688,0.8258456887690987,-0.8287286190666414,0.8890219238738958,-0.8878089306127355,0.886600901006626,0.39646295123011943,-0.39719437922282286,0.3979303944132269
Berrien,-0.0325164559547934,0.0336584288814472,-0.0347888068353751,-0.3076539136926923,0.30794872858546235,-0.3082434754763735,0.8708590122653129,-0.870469564264262,0.8700852302133713,0.1573702399609893,-0.15676336486587772,0.1561564107499669,-1.5344738437632628,1.5333963237151556,-1.5323100360502269,0.45779054470483777,-0.4591963321606782,0.4606023318223375,0.34677111633413743,-0.3482458216087273,0.3497211783652433,1.0091679146793542,-1.010357863595659,1.0115694259244559,0.6097960816065437,-0.6108767354337246,0.6119762633617887,1.2998352159125683,-1.3005578122469221,1.3012786835529546,-0.47587262792751117,0.4769492138300861,-0.4780259314851945,0.7842125592281906,-0.7859167859094415,0.7876207557723565,0.2718327788699159,-0.27227428901880973,0.27271685699777753,0.14673636355959604,-0.14513800100700064,0.1435613012859109,0.1723137654288832,-0.17205281211207873,0.1717868760651278,-0.34767966756807767,0.3472216549384544,-0.3467609526528534
