0,1,2,3,4,cluster_labels
-0.8211458,1.4270475,1.0306258,0.083334684,0.14897558,2
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-0.85153896,2.1684647,1.2622595,0.07092321,0.07128531,2
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
0.29765844,0.5284014,0.42115873,0.14984253,-0.0029884875,1
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
1.0440804,0.31571066,0.67734414,0.3736024,0.15080324,1
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
1.814339,-0.19034058,0.08147687,0.468324,0.28725207,3
0.6425811,0.56754065,0.7476621,0.30771458,0.14376473,1
-0.88805085,1.9575806,1.1267781,0.04409802,0.058044285,2
-0.4700588,0.24517775,-0.053515255,-0.0933941,-0.13706237,1
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.62026745,-1.4814166,-1.4751008,-0.396398,-0.4255607,0
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
2.4219646,-0.5088291,-0.5188888,0.5427793,0.46246374,3
0.1891464,1.2781096,0.7254569,0.14981237,-0.03791952,2
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-1.2029538,0.13877249,-0.041705847,-0.18726078,-0.056155235,0
-0.9228251,1.7567322,0.997744,0.018549383,0.045433402,2
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-0.93032193,1.7134318,0.96992606,0.0130414665,0.042714655,2
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
1.0293218,-0.25783056,0.6763082,0.43776137,0.31077096,1
-0.95659775,0.69160676,0.545631,-0.015674412,0.09644413,2
-0.28898394,1.4292316,1.2569768,0.23976386,0.239734,2
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.9296334,1.7174089,0.9724811,0.013547331,0.04296437,2
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
0.14039111,-0.34123772,-0.9251206,-0.22843161,-0.48834285,0
0.100402,1.1790724,1.1214204,0.28154796,0.21133369,2
1.0472184,0.48259842,0.76449686,0.38416398,0.15187338,1
-0.83813334,2.2458928,1.3120027,0.08077234,0.07614687,2
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
2.0620103,-0.27173984,-0.16699392,0.496069,0.35617632,3
-0.9809329,1.4211149,0.7821285,-0.024142295,0.024360627,2
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.2651193,-1.3441695,-1.5376139,-0.3801081,-0.51970524,0
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.96382856,1.5199053,0.8455959,-0.011575818,0.030563489,2
1.0028208,0.32012498,0.6317721,0.35145342,0.12714985,1
-0.7370796,1.5498936,1.1192575,0.111694634,0.15816358,2
-0.9783366,1.4361105,0.7917623,-0.022234797,0.025302172,2
-0.7707078,2.185408,1.3932033,0.12544322,0.13331035,2
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
0.92903745,-0.22774637,0.5616124,0.3803445,0.24574146,1
-1.3976389,-0.9856844,-0.7641074,-0.33029565,-0.12675776,0
-1.1768577,0.28949785,0.055126846,-0.16808799,-0.046691477,0
-1.2092017,0.10268617,-0.06488931,-0.19185108,-0.058421023,0
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.4693507,1.4153922,1.1120224,0.16516674,0.17526281,2
0.46103787,-0.30127507,-0.30904752,0.02372986,-0.1818097,1
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-1.292776,-1.1790932,-0.9512718,-0.35538572,-0.18180333,0
-0.94295824,1.6404479,0.9230378,0.0037576258,0.03813213,2
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.73981,1.8838658,1.0062094,0.03415358,0.0034889877,2
0.70659053,0.51086414,0.799499,0.3414871,0.18400228,1
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.8565338,2.1396155,1.2437255,0.0672535,0.06947392,2
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.09415197,-0.06369686,-0.22115225,-0.057667494,-0.16585854,1
1.2029325,0.20710659,0.529553,0.36009693,0.090406775,1
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
0.2543453,-1.1557074,-1.6379097,-0.3578515,-0.6588385,0
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
1.5479695,-0.03480351,0.36892325,0.4423908,0.22033966,1
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
1.6420006,0.04668939,0.31485933,0.45896393,0.25388741,1
-0.93835855,1.6670146,0.9401054,0.0071370006,0.039800197,2
1.4014994,0.049652576,0.49731463,0.4246269,0.18704921,1
-0.43126,1.877028,1.3656456,0.20305341,0.18329269,2
-0.96090543,1.536789,0.85644263,-0.009428173,0.031623572,2
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.9834572,1.4065349,0.77276164,-0.025996923,0.023445174,2
-0.945488,0.8538077,0.6236765,-0.006451696,0.09334549,2
-0.4291128,1.1919396,0.9286688,0.13514125,0.1346182,2
-0.95766664,1.5554955,0.8684606,-0.007048607,0.032798126,2
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-0.6057395,2.4223676,1.7364597,0.23890209,0.24518311,2
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-0.24083018,1.494432,1.0771894,0.17855257,0.12021756,2
1.0782343,-0.26369834,0.6678961,0.44295365,0.30480716,1
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
1.1718434,-0.47292948,-0.14052218,0.20767939,-0.08525038,1
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.8469785,2.194805,1.2791817,0.074273795,0.07293917,2
-0.88757527,1.5542471,0.9760187,0.040055037,0.08774106,2
1.8034555,-0.14845943,0.22535986,0.4917153,0.298011,3
-0.8946914,1.8072932,1.0600953,0.03800845,0.06377424,2
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.88434386,1.978991,1.1405332,0.046821505,0.059388608,2
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
1.1052374,0.12527525,0.5743508,0.37008882,0.14368245,1
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
1.038098,0.4158175,0.7403098,0.3823731,0.15777719,1
2.1454544,-0.43123245,-0.29845,0.47144943,0.28948432,3
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-0.1498264,0.09757519,-0.07468915,-0.035219073,-0.12715879,1
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.7720754,1.3409534,1.0739179,0.115389735,0.1936366,2
0.55447865,-0.20086533,0.7579755,0.38735533,0.36866772,1
-0.28898394,1.4292316,1.2569766,0.23976386,0.23973393,2
0.09462035,0.59794056,0.721656,0.21294671,0.15458202,1
-0.41303718,0.24843311,0.81393534,0.2084893,0.33342788,1
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.80668426,0.30377007,0.63101095,0.08090603,0.24196139,2
2.2456331,-0.464756,-0.36882687,0.49176282,0.33045113,3
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.9516314,1.5903535,0.8908549,-0.0026145577,0.034986794,2
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-0.8267835,1.5976424,1.0860124,0.08139011,0.13216043,2
-1.4153368,-1.1239965,-0.8558069,-0.34791148,-0.13737993,0
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
-0.8330508,2.2752483,1.330862,0.08450648,0.07799004,2
0.43776166,0.54288244,0.6837192,0.2581252,0.12814987,1
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
0.357785,-0.8010198,-1.4291544,-0.31288218,-0.6496018,0
-0.76831454,0.13004816,0.07489741,-0.081388414,-0.016477048,0
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-0.8802178,1.6834853,1.0359004,0.04639879,0.08410251,2
-1.3277054,-0.5817646,-0.50461125,-0.27891564,-0.1013964,0
-0.852081,1.3828065,0.9663306,0.062060744,0.12798285,2
-0.5210496,1.3665841,1.1623101,0.18009412,0.21953946,2
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-0.80137235,2.4582157,1.4484086,0.107780576,0.089478225,2
2.468727,-0.5385165,-0.5488035,0.5489613,0.46913517,3
-0.99576163,1.3354671,0.7271045,-0.03503701,0.018982962,2
-1.4211346,-1.1213901,-0.8512909,-0.3475579,-0.13527846,0
