County_,Pct_Children_in_Poverty_a,Pct_Children_in_Poverty_b,Pct_Children_in_Poverty_c,Pct_Excessive_Drinking_a,Pct_Excessive_Drinking_b,Pct_Excessive_Drinking_c,Pct_Smokers_a,Pct_Smokers_b,Pct_Smokers_c,Pct_Unemployed_a,Pct_Unemployed_b,Pct_Unemployed_c,Pct_Uninsured_a,Pct_Uninsured_b,Pct_Uninsured_c,Age-Adjusted_Death_Rate-Drug_Overdoses_a,Age-Adjusted_Death_Rate-Drug_Overdoses_b,Age-Adjusted_Death_Rate-Drug_Overdoses_c,Death_Rate-Drug_Overdoses_a,Death_Rate-Drug_Overdoses_b,Death_Rate-Drug_Overdoses_c,ER_Visit_Rate-All_Other_Unintentional_Injury_a,ER_Visit_Rate-All_Other_Unintentional_Injury_b,ER_Visit_Rate-All_Other_Unintentional_Injury_c,ER_Visit_Rate-Falls_a,ER_Visit_Rate-Falls_b,ER_Visit_Rate-Falls_c,Injury_Death_Rate_a,Injury_Death_Rate_b,Injury_Death_Rate_c,MV_Mortality_Rate_a,MV_Mortality_Rate_b,MV_Mortality_Rate_c,Percent_of_Deaths_by_Cause-All_Opioids_a,Percent_of_Deaths_by_Cause-All_Opioids_b,Percent_of_Deaths_by_Cause-All_Opioids_c,Preventable_Hospitalization_Rate_a,Preventable_Hospitalization_Rate_b,Preventable_Hospitalization_Rate_c,Teen_Birth_Rate_a,Teen_Birth_Rate_b,Teen_Birth_Rate_c,Violent_Crime_Rate_a,Violent_Crime_Rate_b,Violent_Crime_Rate_c,Years_of_Potential_Life_Lost_Rate_a,Years_of_Potential_Life_Lost_Rate_b,Years_of_Potential_Life_Lost_Rate_c
Appling,-606024.4347601316,601.4139361579415,-0.14920079922410423,3515.3264389600104,-3.9108440190216,0.0010782809545895056,354835.90449375234,-351.8215156282472,0.08721346809909392,58049.59029516455,-56.77283340766293,0.01388019618350711,118795.07301477643,-117.1955718964224,0.02890889347368386,,,,,,,101401418.36668059,-100463.79405227085,24.884590414891136,32698702.99568276,-32407.757796950402,8.03051948169741,5544037.701637677,-5492.183370453025,1.3602230491442242,,,,0.0,0.0,0.0,-918702736.6869953,910316.9005807778,-225.5000001436565,-2036316.9833148418,2022.6739398309392,-0.5022594353943077,15601451.569558624,-15492.989738389644,3.8463651746751566,,,
Atkinson,83022.9857836963,-81.64305750716751,0.02007992021975724,-461602.48962059885,456.73220834744455,-0.11297456916105375,-75803.59974031974,74.30044395337687,-0.018199072481920098,544875.1753247081,-538.8948426389715,0.1332457883834195,-27281.44767217167,27.853102462508712,-0.0070964095689802775,,,,,,,-286478162.059342,284199.0583100002,-70.48314185644267,-185267048.23451796,183780.5886888384,-45.57574925138033,-4927865.286560792,4880.558284246542,-1.2083997648132936,1460155.689260861,-1447.9848814075606,0.3589875189115901,,,,-399917620.0899912,395389.7062792,-97.72707366163377,-160122.8581384922,163.3359733143053,-0.041600177344236045,424.27813789,0.0,0.0,180683798.70446205,-179071.74723212284,44.37115596057265
Bacon,-653412.6180806011,647.9807193782465,-0.16063936066348106,-230506.79610317378,228.0515618376997,-0.05640163948314125,193688.97646689016,-193.02905596750674,0.048096123906390176,215876.23649872062,-213.31078725655817,0.05269480400232851,-209923.37124891902,208.7833878329846,-0.0519063135365343,5813156.437615785,-5771.151196216359,1.4323607433461802,4681667.059581104,-4647.837838381389,1.153561955801706,47656313.960644886,-47064.34064721006,11.62070429889718,-8970978.268261585,8953.598154352423,-2.233116883737239,1332608.4562487884,-1316.8295125636007,0.3253291441449164,408035.35976792756,-402.654668810952,0.09934258490636694,197833.9954346693,-196.4104810468495,0.04874922334172993,30831805.09388623,-32092.372532851932,8.33277130580609,-1000771.1234341112,998.09287702336,-0.2488297990112187,,,,208558980.2708178,-206713.34298054094,51.22372217182419
Baker,-355554.82306742773,352.51043955087465,-0.0873626373602292,-458.3022196104426,0.025000017596928957,0.00010349722652016821,692835.4545396067,-686.8960857368085,0.17025631397905272,26500.692986058944,-25.809050369902334,0.0062836017290024415,173181.00009112156,-171.2919264274368,0.042360205050869126,0.0,0.0,0.0,0.0,0.0,0.0,-149565166.91388065,148300.88508955803,-36.760589416720904,29220100.908601414,-29128.727291166004,7.259815183198953,-2331748.984137499,2298.372831687572,-0.5663378008143809,,,,0.0,0.0,0.0,,,,-1301332.9657494135,1292.1426477119098,-0.3207443434407651,-65125363.26619394,64588.6401229842,-16.014025248114194,,,
Baldwin,-629356.2700746794,624.3662337115413,-0.15484515483160521,-74565.6591637536,73.65488539963462,-0.018184928047105586,-422610.45645009604,418.75301375808124,-0.10372709383591427,450273.01499570557,-445.3948815757259,0.11014366001859344,232692.59936304076,-230.25525786768625,0.056964764183220495,4664025.0030884845,-4624.773745428329,1.1464632000161146,4038826.3130161073,-4004.3031854588653,0.9925187310245747,156235211.2511362,-154943.59015489437,38.416358646325534,48405046.319759704,-48000.25093033231,11.900224776778487,-1018468.2125668939,1005.8255402997264,-0.24831676773067102,1848937.6609184237,-1834.3025227564585,0.45494851913144885,89894.56723713288,-89.21871304640932,0.022136953940602666,-282911519.87524205,279638.4401744671,-69.09984497464029,374099.68389779376,-368.42190930687605,0.09070918904973269,34780070.74970011,-34482.39291633359,8.546954250596173,-48861616.29188564,48023.295944730475,-11.796762782731093
Banks,-490121.50537598185,486.7199300513759,-0.12082917082454969,-351680.802421032,347.75290995881755,-0.08596280959051228,1554491.1279039474,-1540.0050092967624,0.3814179667078861,16803.67620903017,-16.196196658207054,0.003900738220846023,306849.41802203073,-303.84225292949145,0.07522112179373153,3999090.6617673314,-3968.558331146245,0.9845676334443851,3099845.5730890413,-3076.553316343454,0.76336256310924,-163598018.43482763,162392.34252645378,-40.29775225245976,-95643898.46925798,94909.51370024687,-23.544455547918915,890012.8375583179,-882.4969331532843,0.2187809149650093,-624922.1398839848,619.5407428075496,-0.15354447614390665,-458133.6378310021,454.0500003279689,-0.11250000008124061,-327597473.75460035,323707.7564066368,-79.96474807825871,333090.77898518794,-326.95974722322757,0.08023675310124645,47441762.19054301,-46998.926874686396,11.640089199478098,-39160497.444860764,38612.58713507362,-9.515617281118466
Barrow,-563182.2840722449,559.0080420139461,-0.13871128872517602,-161071.44516428487,159.42847094018362,-0.039446271611723205,913167.4221145778,-904.32041447604,0.2238941484639554,275740.09997526504,-272.6954048167421,0.06742192780956202,157983.11118789145,-156.1121731237123,0.038570154873752927,1082440.5388401516,-1075.4073178840379,0.26710789215781006,1248315.7610570823,-1240.0086415752587,0.3079420579958878,-17955927.221398577,18042.34972551624,-4.530494505554088,-33192361.63622074,33008.86011943754,-8.205919082050968,2493827.7529543936,-2471.378820010732,0.6122987355815894,-83487.42690643927,84.95224218623899,-0.02159224967749651,175708.14914957513,-174.33273843204597,0.0432422970021662,-222311103.80068865,219454.04416849423,-54.15705427649664,237693.3418450475,-232.18428343952283,0.056696753558526325,1039206.6853626353,-1032.9911056525364,0.2568199403917788,-81392682.52535444,80506.68734684808,-19.90552245042636
Bartow,-471534.8884347374,468.23481510886154,-0.11623376621497528,63240.0531591111,-62.943258306109094,0.01566571549550133,728697.0235040473,-722.0365475585853,0.17886373037822523,342629.8979865533,-338.9623388910833,0.08383452280946813,23542.289920030646,-22.909732494857675,0.005576265766450206,1188097.2878873537,-1180.5303198042445,0.29325674328742934,1184521.437532098,-1176.9441060140687,0.2923576423877421,-70876006.55097009,70505.87228805192,-17.533116885679192,-14096201.436533224,14070.353701333936,-3.5103396615886595,443233.5782521163,-440.80319184921933,0.10961336995040938,713742.9953730579,-707.6096029747263,0.17538610328927007,77416.89213719743,-76.91805694731919,0.019105894106942856,-413332922.73279965,408645.77308684436,-101.00170544494176,1275019.382637918,-1259.7372861876347,0.3111661591071879,2271209.4401449836,-2265.6085528624685,0.5650855408953248,152902036.48504224,-151564.44644258262,37.561665642570006
Ben Hill,-981487.6205549515,973.8522478268742,-0.24155844157689899,-101823.86322960387,100.30700542959843,-0.02469912810155961,355772.6756390254,-352.76653133935173,0.08745183891909392,206770.21584568266,-204.0965464374769,0.050365552646894685,149685.0833759032,-147.77185850749945,0.03647465776796821,,,,,,,,,,,,,3657370.48351294,-3627.1711212777254,0.8993198524867694,-307649.47797710716,305.8602323662181,-0.07601616570264014,,,,-310690318.6724258,306895.20911338116,-75.78515505528776,-623052.9611572006,623.1803543860874,-0.15579564052291062,18964830.727838602,-18769.18211559663,4.643975200520799,161964774.74089497,-160899.59558167148,39.96272562662489
Berrien,-549331.4763726799,545.3983018458255,-0.13536463540117438,-178348.19143554417,176.33765283671195,-0.043583482908616133,876347.4272533169,-868.1145388238639,0.2149951522515039,228057.82617774556,-225.27251754985772,0.055631241368274686,-174856.78179623446,173.763073739724,-0.04316349119429219,1958967.2888705556,-1947.6288223986699,0.4840885718426762,1606503.3146425362,-1597.8138972799518,0.39729232410104487,93659255.63293213,-92834.2362145112,23.005444555616123,10587705.860783843,-10502.9691266561,2.6054945044506894,3587583.7729713297,-3557.0786835976896,0.8817239301683912,-166069.42629191454,167.575536687957,-0.04225713446274426,199643.24759144665,-198.29021583768485,0.049236529839788545,-220802809.78526744,217920.35344208372,-53.767403114266926,165798.47608228956,-159.7581863914334,0.03846812672247779,6837891.552202993,-6770.40128147061,1.6759477834993959,-99720325.87918521,98510.40954512924,-24.326061254454544
