County,Year,% Adults with Obesity,% Children in Poverty,% Excessive Drinking,% Smokers,% Unemployed,% Uninsured,ACSC Rate,Age-Adjusted Death Rate,Age-Adjusted Death Rate-All Opioids,Age-Adjusted Death Rate-Drug Overdoses,Age-adjusted Death Rate,Average Number of Mentally Unhealthy Days,Average Number of Physically Unhealthy Days,Child Mortality Rate,Child Mortality Rate (Asian),Child Mortality Rate (Black),Child Mortality Rate (Hispanic),Child Mortality Rate (White),Death Rate-All Opioids,Death Rate-Drug Overdoses,Drug Overdose Mortality Rate,Drug Overdose Mortality Rate (Asian),Drug Overdose Mortality Rate (Black),Drug Overdose Mortality Rate (Hispanic),Drug Overdose Mortality Rate (White),ER Visit Rate-All Other Unintentional Injury,ER Visit Rate-Falls,Firearm Fatalities Rate,Firearm Fatalities Rate (Asian),Firearm Fatalities Rate (Black),Firearm Fatalities Rate (Hispanic),Firearm Fatalities Rate (White),Homicide Rate,Homicide Rate (Asian),Homicide Rate (Black),Homicide Rate (Hispanic),Homicide Rate (White),Infant Mortality Rate,Infant Mortality Rate (Asian),Infant Mortality Rate (Black),Infant Mortality Rate (Hispanic),Infant Mortality Rate (White),Injury Death Rate,Injury Death Rate (Asian),Injury Death Rate (Black),Injury Death Rate (Hispanic),Injury Death Rate (White),MV Mortality Rate,MV Mortality Rate (Asian),MV Mortality Rate (Black),MV Mortality Rate (Hispanic),MV Mortality Rate (White),Mammography Rate,Median Household Income,Motor Vehicle Mortality Rate,Percent of Deaths by Cause-All Opioids,Percent of Deaths by Cause-Drug Overdoses,Preventable Hospitalization Rate,Suicide Rate (Age-Adjusted),Suicide Rate (Asian),Suicide Rate (Black),Suicide Rate (Hispanic),Suicide Rate (White),Teen Birth Rate,Teen Birth Rate (Asian),Teen Birth Rate (Black),Teen Birth Rate (Hispanic),Teen Birth Rate (White),Violent Crime Rate,YPLL Rate,YPLL Rate (Asian),YPLL Rate (Black),YPLL Rate (Hispanic),YPLL Rate (White),Years of Potential Life Lost Rate
Appling,2021,-0.33351189613880805,0.11985655492006549,0.44054113389940114,1.089479228907748,-1.0896994953554018,-0.16904280767626284,,,,,,0.47384755060047146,1.3176685088633333,,,,,,,,,,,,,-0.11878243260266057,0.6059011479075481,,,,,,,,,,,,,,,,0.7701231695837515,,,,,,,,,,,-0.4937285508042709,,,,1.4919622964865786,-0.6808573235052255,,,,,0.2866466389895017,,,,,0.2826233028357853,,,,,,
Appling,2022,0.10505444840618494,0.005034843905591787,0.690457322185564,1.280147536279945,-0.8047747800563226,0.2988987043991547,,,,,,1.6502327224655262,1.6480960321558826,,,,,,,,,,,,,0.42134851015321023,0.8620096508536095,,,,,,,,,,,,,,,,1.076703853294938,,,,,,,,,,,-0.42171980300199974,,,,1.0278163372136817,-0.9355523742534022,,,,,0.083073351419453,,,,,0.2826233028357853,,,,,,
Appling,2023,0.3720078755205277,-0.23504691548830717,0.5142332657042817,1.153186656038307,-1.1913095994941554,0.11628483762934043,,,,,,0.8987707233553436,0.0551799024950395,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.076703853294938,,,,,,,,,,,-0.3079459814744113,,,,0.2452400448895755,-0.9355523742534022,,,,,0.083073351419453,,,,,,,,,,,
Atkinson,2011,,0.5165133747882465,-2.494918447335459,-0.7766187236345913,,3.0361495290797844,2.5575156768140244,,,,,,,,,,,,,,,,,,,-1.0612961160770276,-1.5203251624745582,,,,,,-1.4581889275716773,,,,,,,,,,,,,,,,,,,,1.2692616966473482,,,,,,,,,,,3.2713137570570394,,,,,,0.44851205940645367,,,,,
Atkinson,2012,,2.948645980822096,-3.1200748436724224,-1.3606387727461258,3.0188094554613483,2.334007285935493,2.267944103603184,,,,,,,,,,,,,,,,,,,1.6620697707980951,0.46633077606744167,,,,,,,,,,,,,,,,,,,,,3.0314082206097397,,,,,-0.4731541968045905,,,,,,,,,,,2.820783908938494,,,,,,0.34957313663947354,,,,,
Atkinson,2013,,1.5081554244587,-3.1796135480854666,-1.0305404841178674,2.2851937256874857,3.161532072498408,2.566559148158941,,,,,,,,,,,,,,,,,,,1.165527352803667,0.7960423091856843,,,,,,,,,,,,,,,,,,,,,2.1847900510024436,,,,,,,,,,,,,,,,2.2067845961842703,,,,,,0.43963115960449234,,,,,
Atkinson,2014,,0.8922935199265238,,,2.075362761146533,3.651196073107869,3.9591400047080705,,,,,,,,,,,,,,,,,,,1.2221642223561564,1.2222639379888796,,,,,,,,,,,,,,,,-0.3526317717733309,,,,,2.1847900510024436,,,,,,,,,,,,,,,,2.1088881820918717,,,,,0.5012133338839637,0.43963115960449234,,,,,
Atkinson,2015,,0.8922935199265238,,,1.2833554038934858,2.7515270266723544,,,-0.7584290507048772,-1.1028373042829807,,,,,,,,,-0.8270024107832152,-1.1361853814530738,,,,,,0.9907500641971052,0.8223291056757492,,,,,,,,,,,,,,,,0.5573108596691719,,,,,1.9081055676523162,,,,,,,,-0.8494184826002605,,-0.9098640030271702,,,,,,2.038005825696263,,,,,0.5012133338839637,,,,,,1.0478224103321183
Atkinson,2016,,0.8192251583718593,-0.11337027081369373,0.18828396620185783,0.19949560249651294,3.1307658780253163,,,,,,,,,,,,,,,,,,,,1.3011596070370883,1.015474472267036,,,,,,,,,,,,,,,,1.095157569224021,,,,,2.12435978881802,,,,,,,,,,-0.9178525545246644,,,,,,2.1069679944030355,,,,,0.5012133338839637,,,,,,0.8075310100803037
Atkinson,2017,,1.1114986045905189,0.0744871430262964,0.16861048806656773,-0.5230498078927274,2.142284329490184,,,,,,,,,,,,,,,,,,,,1.344748131798531,0.36744235117624513,,,,,,,,,,,,,,,,1.6439362598396687,,,,,1.4597651908132299,,,,,,,,,,-0.9134215289425553,,,,,,2.0147080953035523,,,,,,,,,,,0.5761824537046116
