County,Year,% Adults with Obesity,% Children in Poverty,% Excessive Drinking,% Smokers,% Unemployed,% Uninsured,ACSC Rate,Age-Adjusted Death Rate,Age-Adjusted Death Rate-All Opioids,Age-Adjusted Death Rate-Drug Overdoses,Average Number of Mentally Unhealthy Days,Average Number of Physically Unhealthy Days,Child Mortality Rate,Death Rate-All Opioids,Death Rate-Drug Overdoses,Drug Overdose Mortality Rate,ER Visit Rate-All Other Unintentional Injury,ER Visit Rate-Falls,Firearm Fatalities Rate,Homicide Rate,Infant Mortality Rate,Injury Death Rate,Injury Death Rate (Black),Injury Death Rate (White),MV Mortality Rate,Median Household Income,Motor Vehicle Mortality Rate,Percent of Deaths by Cause-All Opioids,Percent of Deaths by Cause-Drug Overdoses,Preventable Hospitalization Rate,Suicide Rate (Age-Adjusted),Teen Birth Rate,Teen Birth Rate (Black),Teen Birth Rate (White),Violent Crime Rate,YPLL Rate,YPLL Rate (Black),YPLL Rate (White),Years of Potential Life Lost Rate,Cluster
Chattahoochee,2017,36.04905660377358,24.5,24.544312571,18.824241112,8.7767166894,14.32111001,83.42316256817881,478.1914783254852,0.0,14.82749546279492,4.873584574814779,4.350794809712578,67.93104816837146,0.0,14.108257713248639,16.038530334514796,1314.9,850.8,16.920799542435546,7.209506117008523,7.889866512148114,36.164581724,67.20766840686468,95.93947376991798,11.896972221,51020.333333333336,20.878227117222163,0.0,1.438938053097345,61.09,17.03977233716966,37.34439834,37.113392784479764,29.92501036151794,0.0,9468.093949044585,11879.087833174164,9454.111234510978,7675.9,1
Chattahoochee,2018,36.04905660377358,22.8,23.314391387,19.64341402,8.4001887683,11.008691072,83.42316256817881,478.1914783254852,0.0,14.82749546279492,4.873584574814779,4.350794809712578,67.93104816837146,8.34330808080808,14.108257713248639,16.038530334514796,1497.6,627.1,16.920799542435546,7.209506117008523,7.889866512148114,34.99650035,67.20766840686468,95.93947376991798,12.04500012,51020.333333333336,20.878227117222163,0.0,1.438938053097345,2410.3373730862204,17.03977233716966,42.847725775,37.113392784479764,29.92501036151794,0.0,9468.093949044585,11879.087833174164,9454.111234510978,8904.411776,1
Chattahoochee,2019,36.04905660377358,22.6,23.314391387,19.64341402,7.3275862069,11.746478873,83.42316256817881,478.1914783254852,7.962231320368475,14.82749546279492,4.873584574814779,4.350794809712578,67.93104816837146,8.34330808080808,14.108257713248639,16.038530334514796,1457.8,678.5,16.920799542435546,7.209506117008523,7.889866512148114,33.151870463,67.20766840686468,95.93947376991798,12.180564691,51020.333333333336,20.878227117222163,0.7282527881040891,1.438938053097345,2410.3373730862204,17.03977233716966,44.630404463,37.113392784479764,29.92501036151794,0.0,9468.093949044585,11879.087833174164,9454.111234510978,9194.5556179,1
Chattahoochee,2020,34.7,19.3,22.907404682,17.965194979,5.583501006,12.133370227,83.42316256817881,495.8524883,7.962231320368475,14.82749546279492,3.8043008722,3.6934572685,67.93104816837146,8.34330808080808,14.108257713248639,16.038530334514796,1374.3,739.3,18.131051238,7.209506117008523,7.889866512148114,34.448997353,67.20766840686468,95.93947376991798,21.391142061579277,46869.0,20.878227117222163,0.7282527881040891,1.438938053097345,2514.0,17.03977233716966,46.460176991,30.470914127,54.252199413,0.0,9468.093949044585,11879.087833174164,9454.111234510978,9079.8318799,1
Chattahoochee,2021,43.0,23.5,17.427733964,18.930494206,4.5568352529,10.437532947,83.42316256817881,457.14446031,7.962231320368475,14.82749546279492,4.303214506,4.2443054865,67.93104816837146,8.34330808080808,14.108257713248639,16.038530334514796,1458.9,685.2,18.442018294,7.209506117008523,7.889866512148114,44.260843907,67.20766840686468,95.93947376991798,21.391142061579277,46106.0,20.878227117222163,0.7282527881040891,1.438938053097345,2209.0,20.449632033,43.913713405,37.113392784479764,52.22734255,0.0,9468.093949044585,11879.087833174164,9454.111234510978,8370.2461797,1
Chattahoochee,2022,37.2,14.7,17.893432274,19.6,6.23742455,10.656689459,83.42316256817881,478.1914783254852,7.962231320368475,14.82749546279492,5.0845622301,4.6986036399,67.93104816837146,8.34330808080808,14.108257713248639,16.038530334514796,1734.9,1009.2,20.596551014,7.209506117008523,7.889866512148114,52.427584399,67.20766840686468,95.93947376991798,21.391142061579277,51811.0,20.878227117222163,0.7282527881040891,1.438938053097345,2490.0,25.133530894,41.017227235,37.113392784479764,48.092868988,0.0,9468.093949044585,11879.087833174164,9454.111234510978,9156.0490315,1
Chattahoochee,2023,38.6,17.1,16.402381416,20.0,4.4979079498,13.44841988,83.42316256817881,530.41185718,7.962231320368475,14.82749546279492,4.8342468755,3.7808421336,67.93104816837146,8.34330808080808,14.108257713248639,16.038530334514796,3727.5102496016993,2355.6575982996815,20.596551014,7.209506117008523,7.889866512148114,52.427584399,67.20766840686468,95.93947376991798,21.391142061579277,53786.0,20.878227117222163,0.7282527881040891,1.438938053097345,2460.0,25.133530894,41.017227235,37.113392784479764,48.092868988,320.912799077097,9468.093949044585,11879.087833174164,9454.111234510978,9156.0490315,0
Chattooga,2011,36.04905660377358,23.1,8.9,20.258496137379062,7.147057795418082,17.8,70.2232,478.1914783254852,7.962231320368475,14.82749546279492,4.873584574814779,4.350794809712578,67.93104816837146,8.34330808080808,14.108257713248639,16.038530334514796,4072.1,2401.3,16.920799542435546,3.3,7.889866512148114,75.98458018569293,67.20766840686468,95.93947376991798,21.391142061579277,51020.333333333336,20.878227117222163,0.7282527881040891,1.438938053097345,2410.3373730862204,17.03977233716966,91.2,37.113392784479764,29.92501036151794,320.912799077097,10777.8,11879.087833174164,9454.111234510978,9290.782779311376,0
Chattooga,2012,36.04905660377358,28.8,5.6,20.258496137379062,12.0,23.7,67.826053113,478.1914783254852,7.962231320368475,22.0,4.873584574814779,4.350794809712578,67.93104816837146,8.34330808080808,23.3,16.038530334514796,4361.5,2577.3,16.920799542435546,7.209506117008523,7.889866512148114,75.98458018569293,67.20766840686468,95.93947376991798,25.303235046,51020.333333333336,20.878227117222163,0.7282527881040891,1.9,2410.3373730862204,17.03977233716966,83.7,37.113392784479764,29.92501036151794,212.53148615,10512.31,11879.087833174164,9454.111234510978,9290.782779311376,0
Chattooga,2013,36.04905660377358,28.2,8.8,20.258496137379062,11.2,22.3,64.929999828,478.1914783254852,7.962231320368475,14.82749546279492,4.873584574814779,4.350794809712578,67.93104816837146,8.34330808080808,14.108257713248639,16.038530334514796,3986.0,2530.0,16.920799542435546,7.209506117008523,7.889866512148114,75.98458018569293,67.20766840686468,95.93947376991798,28.734361876,51020.333333333336,20.878227117222163,0.7282527881040891,1.438938053097345,2410.3373730862204,17.03977233716966,77.255639098,37.113392784479764,29.92501036151794,203.35776779,9897.18,11879.087833174164,9454.111234510978,9290.782779311376,0
