,County,Pct_Children_in_Poverty_a,Pct_Children_in_Poverty_b,Pct_Children_in_Poverty_c,Pct_Excessive_Drinking_a,Pct_Excessive_Drinking_b,Pct_Excessive_Drinking_c,Pct_Smokers_a,Pct_Smokers_b,Pct_Smokers_c,Pct_Unemployed_a,Pct_Unemployed_b,Pct_Unemployed_c,Pct_Uninsured_a,Pct_Uninsured_b,Pct_Uninsured_c,ER_Visit_Rate-All_Other_Unintentional_Injury_a,ER_Visit_Rate-All_Other_Unintentional_Injury_b,ER_Visit_Rate-All_Other_Unintentional_Injury_c,ER_Visit_Rate-Falls_a,ER_Visit_Rate-Falls_b,ER_Visit_Rate-Falls_c,Injury_Death_Rate_a,Injury_Death_Rate_b,Injury_Death_Rate_c,Teen_Birth_Rate_a,Teen_Birth_Rate_b,Teen_Birth_Rate_c,Violent_Crime_Rate_a,Violent_Crime_Rate_b,Violent_Crime_Rate_c
0,Appling,-0.28381677516566,0.284039926617789,-0.2842520747718549,0.2974606880642252,-0.2976491338401403,0.2978362741419061,-0.0960259298956859,0.0960639720665594,-0.0960975992324952,-0.9692920553834574,0.9705699883959324,-0.9718456588102752,0.0330251933858569,-0.0332881103575192,0.0335637262536734,1.0860822547229647,-1.086807143904994,1.0875364928962676,1.063262722833943,-1.0639307359317922,1.0646124246468451,2.1695482184270687,-2.1689431255750837,2.168343357732868,-2.560129469176137,2.561467802943913,-2.5627794937984056,0.6902445367879385,-0.6923761802534848,0.6945060336753164
1,Atkinson,2.7704926427816408,-2.7691225558458017,2.7678454582972423,-1.2501261249718167,1.250016742550569,-1.2499109902308878,-0.894433700332558,0.893791514370763,-0.8931428674429509,2.2569518275341385,-2.2550278761637967,2.2530948053127333,-0.7467240292922995,0.7477352539909382,-0.7487020416689439,-2.767298637778095,2.76757063920738,-2.767835812902979,-3.406919988056172,3.4074657568942226,-3.408018724872737,-2.485583219354852,2.4858626702426885,-2.4861314677216217,-0.2538899160467434,0.2555564890415262,-0.2571804638289998,-0.2317839633919915,0.2318178984966837,-0.2318451705408442
3,Baker,0.8264285738392699,-0.8285214330383672,0.830677622445382,0.2842392308343042,-0.2844255076962593,0.2846080308586854,0.5306269073556189,-0.5312170381958063,0.5318059405411459,-1.1783698854858349,1.1777306459326708,-1.1770854133689803,0.3233345748181607,-0.324573204837242,0.3258123588516184,-1.4071395934449216,1.4058511583433482,-1.4045550505266444,0.991921299605876,-0.9961109586784532,1.0003088248253968,-1.3315176565656843,1.327097494113759,-1.3226826220694112,-1.6566786004831031,1.6554784658827806,-1.654296677878518,-4.080750514816356,4.084685535030214,-4.088632266735224
4,Baldwin,-0.3872387490596699,0.3866332598636372,-0.386018678092155,0.0376617736916497,-0.0370442425215878,0.0364260682138242,-1.5374153276924305,1.5386287394235585,-1.5398373152180005,1.6300134527695662,-1.6294740350875916,1.6289368113883655,0.6410045402197884,-0.6420648309978451,0.6431169139973589,1.6308273262017166,-1.632702632478666,1.634576914697802,1.3853785781108658,-1.3864283184534318,1.3874807169434271,-0.7477178817527829,0.7470621646312406,-0.7464123793502955,0.4027826212375363,-0.4039183024565206,0.4050277551158654,1.8237105033472172,-1.8251397250823465,1.8265868822839024
5,Banks,0.2299409115060263,-0.2286251066893774,0.2272827139029436,-0.8843836233882199,0.8838687229883458,-0.8833495501720832,2.1281407868095847,-2.1282914663183194,2.1284413617856064,-1.242633026170069,1.242044657346933,-1.241464040461666,1.0368499603715498,-1.0382984588436523,1.0397619190049217,-1.5465486385375509,1.5470496134135363,-1.5475497439436026,-1.5688704214843106,1.5693564439864256,-1.5698409741890118,0.1006694786783821,-0.100329459146418,0.0999923139824368,0.3523740002580391,-0.3524978128149004,0.35261322584655,2.572022787587718,-2.5717810619782058,2.57153156501072
6,Barrow,-0.0939123064313389,0.0944919295450188,-0.095128297285203,-0.2501689845448766,0.25113735655999,-0.25209970124885,0.9391234648193398,-0.9382492774462332,0.9373723175358328,0.4733656372725615,-0.474042312871609,0.4747093631000156,0.2422089976007297,-0.2428369046080042,0.2434681966943409,-0.0996705873410398,0.1006416698662012,-0.1016089452311925,-0.2880738805418758,0.2890729790168498,-0.2900724395259914,0.8136219612842422,-0.8133460233315537,0.8130665650849505,0.2351103654094397,-0.234959302788872,0.2347955565764005,-0.1703914046164914,0.1701974960200669,-0.1699931491532132
7,Bartow,0.3123289699746538,-0.3112508025682525,0.3101369404115198,0.4961828102726154,-0.4959858996368401,0.4957941671890415,0.5971144335573588,-0.5970022285953898,0.5968883346724679,0.9166512991188184,-0.9173958145752904,0.918133977856788,-0.4754294386575209,0.4743996973752387,-0.4733703747987123,-0.6254039149223394,0.62633380402219,-0.6272579150994649,0.1035625333774653,-0.1026297771853119,0.1017025389858743,-0.0979397118468846,0.0978822244605951,-0.0978248148175134,1.5102035514851455,-1.509308634293282,1.508414623896032,-0.0975794268543485,0.0966689024231299,-0.0957510537523274
9,Berrien,-0.0325164559547934,0.0336584288814472,-0.0347888068353751,-0.3076539136926923,0.3079487285854623,-0.3082434754763735,0.8708590122653129,-0.870469564264262,0.8700852302133713,0.1573702399609893,-0.1567633648658777,0.1561564107499669,-1.5344738437632628,1.5333963237151556,-1.5323100360502269,1.0091679146793542,-1.010357863595659,1.011569425924456,0.6097960816065437,-0.6108767354337246,0.6119762633617887,1.2998352159125683,-1.300557812246922,1.3012786835529546,0.146736363559596,-0.1451380010070006,0.1435613012859109,0.1723137654288832,-0.1720528121120787,0.1717868760651278
10,Bibb,-0.2947622740391266,0.2926753106722606,-0.2905562001929934,0.0811466198386042,-0.0810649050159592,0.0809781234495119,-0.4250054044056998,0.4252233830124038,-0.4254408139459849,0.4553726889838675,-0.456616910578856,0.4578617635303234,-1.4522571069472203,1.451949901837338,-1.451656545412426,-1.1840490245702522,1.1826806236493783,-1.181310355463409,-1.1750607825615484,1.1750265772906188,-1.1749944927977252,0.3876982283668017,-0.3878878044853902,0.3880777507131602,-0.7473664440333332,0.747049761200731,-0.7467285419656822,0.2133969562612093,-0.2129647580805534,0.2125443544688991
11,Bleckley,0.5607321269840705,-0.5624148583403158,0.5641031547626011,-0.1012387722376053,0.1011803770827131,-0.101121713240705,-0.0667660622746055,0.0665981941979153,-0.0664310022835385,-1.2549194631984686,1.2575321831641704,-1.26012997819539,-0.5641025184903798,0.5637082865550062,-0.5633308494254907,1.4781162025020698,-1.477791820528213,1.47747034477299,1.3288196789441709,-1.3301405065557106,1.3314789268881229,0.4242765472573757,-0.4233731841122394,0.4224685900731807,0.7291592669030645,-0.7309789516657859,0.7327762944468132,0.5433819848232156,-0.5444241180928691,0.5454659896541203
12,Brantley,0.0667587656636855,-0.066866985870037,0.0669777977250244,-1.5938284718582674,1.593469175304251,-1.5931079101951808,-0.4215251001706102,0.4209010235386102,-0.4202705845994451,-0.5876154001489172,0.5887998245453262,-0.5899812688625513,0.7177428950566728,-0.7178026624586589,0.7178749568208643,-0.6253147840624441,0.6257395860016679,-0.626160425564358,-0.4265096750522931,0.42684629284218,-0.427181491809221,0.8395813747254868,-0.8396017538114844,0.8396296190108388,-2.76741239934244,2.764687875430995,-2.761958188926382,0.3474551999440272,-0.3472791193908873,0.347096223969884
